framework,table_name,field_name,cdm_isRequired,bbIsRequired,cdmDatatype,bbConstraintMinGE,bbConstraintMinGT,bbConstraintMaxLE,bbConstraintMaxLT,bbDatatype,cdm_isPrimaryKey,bbIsPrimaryKey,cdm_isForeignKey,bbIsForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers,userGuidance,etlConventions,bbAdditionalUserGuidance,bbEtlNotes
omopdb,provenance,etl_start_datetime,,TRUE,,,,,,datetime,,FALSE,,FALSE,,,,,,,,time stamp of the start of the etl process referenced by this provenance_id,
omopdb,provenance,etl_end_datetime,,TRUE,,,,,,datetime,,FALSE,,FALSE,,,,,,,,time stamp of the finish of the etl process refrenced by this provenance_id,
omopdb,source,source_id,,TRUE,,,,,,uuid,,TRUE,,FALSE,,,,,,,,,
omopdb,source,source_desc,,TRUE,,,,,,varchar,,FALSE,,FALSE,,,,,,,,A description of the data source.,
omopdb,source,source_abbrev,,TRUE,,,,,,varchar(32),,FALSE,,FALSE,,,,,,,,"A short-hand for the data source, e.g., RIVM-ILES",
omopdb,etl,etl_id,,TRUE,,,,,,uuid,,TRUE,,FALSE,,,,,,,,,
omopdb,etl,etl_desc,,TRUE,,,,,,varchar,,FALSE,,FALSE,,,,,,,,A description of the ETL,
omopdb,etl,etl_abbrev,,TRUE,,,,,,varchar(32),,FALSE,,FALSE,,,,,,,,"A shorthand for the ETL process (e.g., nonacris_to_omop_plus)",
omopdb,etl,etl_version,,TRUE,,,,,,varchar(32),,FALSE,,FALSE,,,,,,,,"A versioning for the ETL (i.e., expect versions to develop over time)",
omopdb,etl,etl_release_datetime,,TRUE,,,,,,datetime,,FALSE,,FALSE,,,,,,,,Timestamp that the ETL process was first made available for use,
omopdb,care_site,organization_id,,TRUE,,,,,,uuid,,FALSE,,TRUE,organization,organization_id,,,,,,The id of the organization with which the care site is associated.,Will (eventually) populated with information retrieved from a service we build.
omopdb,organization,organization_id,,TRUE,,,,,,uuid,,TRUE,,FALSE,,,,,,,,"Each organization we we work will have an id. In initial spec, the organization table has no other info, but this is a placeholder for table that will hold a (possibly minimal) set of data on organizations that we think should be replicated in omopdb.",Will (eventually) populated with information retrieved from a service we build.
omopdb,measurement,provided_by_organization_id,,FALSE,,,,,,uuid,,FALSE,,TRUE,organization,organization_id,,,,,,The id of the organization responsible for the measurement.,
omopdb,specimen,visit_occurrence_id,,FALSE,,,,,,uuid,,FALSE,,TRUE,visit_occurrence,visit_occurrence_id,,,,,,"In OMOP, would be specified via fact_relationship table; because specimen collection point is important to us, we record it directly in the specimen table.",
omopdb,specimen,derived_from_specimen_id,,FALSE,,,,,,uuid,,FALSE,,TRUE,specimen,specimen_id,,,,,,"If the specimen is a derived specimen, indicates what specimen it was derived from.",Note this is a self-refencing foreign key relationship.
omopdb,specimen,derivation_concept_id,,FALSE,,0,,2147483647,,integer,,FALSE,,TRUE,concept,concept_id,,,,,,"As of now, this is a placeholder. Assume we will identify/develop concepts that indicate derivation techniques (e.g., culturing, etc.)",
omopdb,measurement,measurement_derived_from_specimen_id,,FALSE,,,,,,uuid,,FALSE,,TRUE,specimen,specimen_id,,,,,,The id of the specimen from which the measurement was derived.,Possible that either measurement_derived_from_specimen_id or measurement_derived_from_measurement_id would be required (XOR). TBD (flag for Ivo)
omopdb,measurement,measurement_derived_from_measurement_id,,FALSE,,,,,,uuid,,FALSE,,TRUE,measurement,measurement_id,,,,,,The id of the measurement from which the measurement was derived.,Possible that either measurement_derived_from_specimen_id or measurement_derived_from_measurement_id would be required (XOR). TBD (flag for Ivo). Note this is a self-referencing foreign key relationship.
omopdb,measurement,source_traceback,,,,,,,,varchar(MAX),,FALSE,,FALSE,,,,,,,,Holds sufficient information to traceback to the individual record in the source from which the data in this row was derived.,"Specific formatting to be developed. Like source/table/PK, but that may not be univeral across all sources."
omopdb,location_history,location_history_id,,TRUE,,,,,,uuid,,TRUE,,FALSE,,,,,,,,The CDM v6.0 spec does not include a primary key for this table. We've added this.,
